tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,kota
2018-02-19,23,30.6,27.2,87,1.9,6.7,3,260,Serang
2018-02-20,24,32,27.5,82,,3,4,310,Serang
2018-02-21,24.2,33,27.6,82,,7.2,6,320,Serang
2018-02-22,24.4,30.6,27.2,85,0,7.5,3,260,Serang
2018-02-23,24.2,32.4,27.7,83,0,2.7,4,10,Serang
2018-02-24,,32.8,27.1,84,0.2,8.8,4,20,Serang
2018-02-25,24,32,27.6,84,14.6,5,4,320,Serang
2018-02-26,23.6,31,25.9,90,15.8,7.5,4,300,Serang
2018-02-27,23.4,32.2,27.2,86,18.4,2,3,310,Serang
2018-02-28,24,32.6,26.9,87,,7.1,3,360,Serang
2018-03-01,24.2,32,26.5,87,0.2,2,3,300,Serang
2018-03-02,24.6,34.6,28.3,82,,2.5,4,310,Serang
2018-03-03,24.4,32.4,27.3,86,0,7.1,3,140,Serang
2018-03-04,24,33,28,83,5,4.5,11,290,Serang
2018-03-05,22.4,33.4,25.9,88,68.8,,3,40,Serang
2018-03-06,23.2,31.6,26.7,86,3,1.1,3,350,Serang
2018-03-07,24.2,32.4,27.5,83,,2,4,210,Serang
2018-03-08,24.8,32.2,27.5,84,0,5.5,4,310,Serang
2018-03-09,24.6,32.6,28.1,81,0,2.5,6,350,Serang
2018-03-10,24.2,33.4,28.3,80,0,7.5,4,20,Serang
2018-03-11,24.4,33.4,27.4,82,2.6,10.1,3,330,Serang
2018-03-12,24.8,30.2,25.2,93,4.2,3.5,3,290,Serang
2018-03-13,23.8,32.2,26.9,86,65.6,1.4,5,280,Serang
2018-03-14,24,33,28.2,83,0.5,3.6,4,350,Serang
2018-03-15,24.4,35.6,29.1,77,0,9,5,210,Serang
2018-03-16,24,34,27.6,83,,10.4,3,20,Serang
2018-03-17,24.2,31.6,26.7,88,0.4,6.5,3,80,Serang
2018-03-18,23.2,32.6,27,84,6.3,0,3,20,Serang
2018-03-19,23.8,32.6,28.2,82,,4.5,4,40,Serang
2018-03-20,24.2,33.4,27.4,87,0,9.5,4,280,Serang
2018-03-21,23,27.6,24.6,90,23.1,5.4,3,260,Serang
2018-03-22,23.2,33.6,27.2,85,17.1,0,3,330,Serang
2018-03-23,23.6,32.8,28.1,81,0,4.5,3,40,Serang
2018-03-24,24.6,27,25.5,91,,8.8,2,130,Serang
2018-03-25,23.6,32.6,26.9,84,17.2,0,4,270,Serang
2018-03-26,24,29.6,25.9,85,0.5,4.2,5,250,Serang
2018-03-27,23,31.8,25.5,88,5.1,1,3,280,Serang
2018-03-28,23,34.2,28,78,2.6,3.2,3,280,Serang
2018-03-29,22.6,35,28.5,76,0,10.1,4,280,Serang
2018-03-30,23.2,33.8,27.5,80,0,10.5,4,260,Serang
2018-03-31,,33.8,28.6,80,,,5,270,Serang
2018-04-01,25.4,34,29.2,77,0,10,5,240,Serang
2018-04-02,,33.6,28.5,80,7.4,10.4,5,270,Serang
2018-04-03,24.4,,27,88,4.8,10,5,310,Serang
2018-04-04,23.6,32.8,27.4,84,10,,3,320,Serang
2018-04-05,23.4,34.2,28,84,0,7,4,20,Serang
2018-04-06,22.2,33.8,28.3,86,0.4,9.5,3,10,Serang
2018-04-07,23.4,33,28.2,81,0,6.5,6,10,Serang
2018-04-08,23,32.2,27.4,83,1.4,7.2,5,40,Serang
2018-04-09,23,31.8,27.4,85,9.2,7,3,10,Serang
2018-04-10,23.2,33.2,28.2,81,0,8,3,40,Serang
2018-04-11,23.8,33.4,28.3,83,0,7,4,20,Serang
2018-04-12,23.4,33,28.2,84,0,8.6,5,40,Serang
2018-04-13,24.4,33.6,28.7,82,0,5.7,4,30,Serang
2018-04-14,24.4,33.8,28.7,82,0.3,10.3,4,20,Serang
2018-04-15,23.4,33.6,27.4,86,6.8,8,2,40,Serang
2018-04-16,23.4,34.4,28.2,81,,4,4,10,Serang
2018-04-17,24,32.4,27.8,87,1,8.4,3,30,Serang
2018-04-18,24.2,33.8,28.1,82,10.2,5.8,3,360,Serang
2018-04-19,24,34,28.7,81,0,5.5,3,20,Serang
2018-04-20,24.6,34,28.2,84,0,8,3,10,Serang
2018-04-21,24.6,34.2,27.7,85,0,8.5,4,60,Serang
2018-04-22,24.4,32.8,28,85,5.8,7,4,20,Serang
2018-04-23,24.2,30,26.5,89,5.5,4.7,3,180,Serang
2018-04-24,24,31,26.3,91,10.6,0,3,120,Serang
2018-04-25,24,26.2,25.1,93,13.7,1.2,3,280,Serang
2018-04-26,22.8,32.2,26.4,86,57.4,0,3,50,Serang
2018-04-27,24,32.2,27,89,0,6,5,30,Serang
2018-04-28,24.2,33.2,27.8,84,9.2,7.7,2,300,Serang
2018-04-29,23.6,,28.7,82,0,,3,10,Serang
2018-04-30,23.8,34,27.9,80,,7,4,20,Serang
2018-05-01,24.4,33.4,28.3,78,0,9.5,4,20,Serang
2018-05-02,24.2,33.6,28.4,78,0,8.7,4,10,Serang
2018-05-03,24,33.6,27.2,82,0,10,3,10,Serang
2018-05-04,24,33.8,27.9,82,1.9,7.5,3,20,Serang
2018-05-05,,33.2,27.9,83,,7.2,3,30,Serang
2018-05-06,24.4,32.4,28.8,81,,6,4,20,Serang
2018-05-07,25,33.8,29.2,78,0,7.2,4,50,Serang
2018-05-08,24.2,34.4,28.9,73,0,10.1,3,260,Serang
2018-05-09,24.2,34,28.7,77,0,9.8,3,20,Serang
2018-05-10,24.4,33.2,28.7,81,5.8,8.2,4,40,Serang
2018-05-11,24.2,33.4,28.2,79,0,7.5,4,30,Serang
2018-05-12,23.8,33.4,28.3,79,0,10.1,4,40,Serang
2018-05-13,24.6,33.4,28.5,80,0,10,4,20,Serang
2018-05-14,24.4,34.2,28.7,79,0,8.5,3,30,Serang
2018-05-15,23,34.6,27.6,82,0,5.4,4,20,Serang
2018-05-16,23.8,32,27.4,85,0,6,4,10,Serang
2018-05-17,24.2,30.4,27.4,88,10.4,0.1,3,10,Serang
2018-05-18,24.6,32.6,27.7,86,0,0.2,4,40,Serang
2018-05-19,24.4,32,26.9,88,3,7.5,3,30,Serang
2018-05-20,24.2,32.8,27.6,85,9.8,1.6,3,40,Serang
2018-05-21,24.2,31.6,27.3,88,17,7,3,40,Serang
2018-05-22,24.6,33.4,28.2,87,5.2,2.1,7,60,Serang
2018-05-23,25,30.6,26.8,88,,6.4,4,70,Serang
2018-05-24,24,32.6,27.4,85,16.3,0,3,20,Serang
2018-05-25,24.2,30.6,27.7,86,,7.4,2,70,Serang
2018-05-26,24.6,32.6,28.3,85,0.2,1,4,40,Serang
2018-05-27,25,33.4,28.4,82,0,6,3,350,Serang
2018-05-28,24.8,33.8,28.6,81,,5.6,3,260,Serang
2018-05-29,24.6,33.6,28.5,81,0,6.5,3,30,Serang
2018-05-30,24.4,34.4,28.3,80,0,5.8,3,10,Serang
2018-05-31,23.8,34.4,27.9,81,0,5.5,3,30,Serang
2018-06-01,22.2,33,27.4,77,37.7,7.3,4,240,Serang
2018-06-02,22.2,32.8,27.2,80,0,10,7,40,Serang
2018-06-03,23.4,32.8,27.7,84,0,8,3,360,Serang
2018-06-04,24.6,34.4,28.1,85,,4.4,3,30,Serang
2018-06-05,25.2,32.8,28,86,0,7.5,3,310,Serang
2018-06-06,25,33.2,28.6,84,,1,3,20,Serang
2018-06-07,25,32.4,27.5,87,0,6.1,3,10,Serang
2018-06-08,23.8,31,27.4,87,0,2,3,280,Serang
2018-06-09,24.2,33.4,28,85,0.4,2.1,3,20,Serang
2018-06-10,23.6,33.6,28.2,82,0,6.7,3,90,Serang
2018-06-11,24.4,33.6,28.6,80,0,6,4,20,Serang
2018-06-12,24.4,33.8,28.1,78,0,5,4,170,Serang
2018-06-13,24,34.2,27.8,82,0,4,3,10,Serang
2018-06-14,24.2,34.2,28.6,81,10.4,4.3,4,300,Serang
2018-06-15,,32,26.6,89,0,8.5,6,200,Serang
2018-06-16,23.8,33,27.8,83,24,5.5,5,40,Serang
2018-06-17,24,33,28.2,81,1,8.5,5,70,Serang
2018-06-18,24.2,33.2,28.1,78,,6,4,40,Serang
2018-06-19,22.8,34.2,27.5,79,0,9,3,30,Serang
2018-06-20,23.4,33.6,28,81,0,10,4,20,Serang
2018-06-21,24.4,32.6,28.4,80,,5.8,5,50,Serang
2018-06-22,24.4,32.2,27.6,83,0,6,4,30,Serang
2018-06-23,24.6,33,28,83,0,3.8,5,60,Serang
2018-06-24,23.4,31.4,26.4,90,59.5,6,4,290,Serang
2018-06-25,23.2,27.4,25,91,3.1,3.1,2,70,Serang
2018-06-26,22.4,30.2,24.9,90,7,0,4,10,Serang
